,PEPE,BTC,ETH,SOL,DOGE,SHIB,PEPE_lag1,PEPE_lag2,PEPE_lag3,PEPE_lag5,PEPE_momentum_7d_lag1,PEPE_momentum_14d_lag1,PEPE_volatility_7d_lag1,PEPE_volatility_14d_lag1,PEPE_volume_from_change_lag1,PEPE_range_lag1,BTC_volatility_14d_lag1,BTC_range_lag1,BTC_funding_rate_sum_lag1,BTC_DVOL_change,M2_30d_change,SOFR_change,DFF_change,US_10Y_change,VIX_change,High_yield_spread_change,Dollar_index_change,QQQ,SPY,GLD,SLV,PEPE_SMA12,PEPE_SMA26,PEPE_RSI_14d_lag1,PEPE_BB_percent_b_20d_lag1
US_10Y_change,0.02943200356778817,0.02689319397274709,0.013382638841403314,0.016490745467064034,0.022314052624903866,-0.007219967992490724,-0.020170949409348486,-0.014538767312600613,-0.008414261789966966,0.01368948131834123,0.017807553318766753,-0.007711091205901456,0.006550345360609057,-0.023692500197987295,-0.0038741519242522374,-0.02552798323877318,-0.017621795095683693,0.013604395719517931,-0.01390755058522265,-0.08555357616411279,-0.056167463260221,-0.01835962986771104,-0.010537642134472445,1.0,0.006599072151663084,-0.22799420128956985,0.3413828484802432,-0.025716177823137436,-0.060424666421521236,-0.1858143341051433,-0.09134739002090717,-0.00239358490473179,-0.03102647246262677,-0.003662490276587306,0.016985047710269045
VIX_change,-0.2506806784116324,-0.3240782835229553,-0.3574750817237658,-0.28239006399799566,-0.2718716491329752,-0.21714479622338959,-0.028967518788067085,0.004557298266359076,0.030926352069252306,-0.013232185453217266,0.010953718188958551,0.031082519785427882,-0.011895444230273335,-0.028383933835295257,0.012985339943641027,-0.04452643605518209,-0.04624714502488487,-0.09151278235971207,0.016951440095387002,0.2652697854191314,-0.007306937978196251,0.03125012498395957,0.07893266075236607,0.006599072151663084,1.0,0.5422100508711047,0.16905233480867957,-0.755641620450932,-0.796634553271972,-0.0876504629995466,-0.18733876072854108,0.03281200662957816,0.0036663283782420817,0.024713243488006152,-0.002870912091928041
High_yield_spread_change,-0.15680129735138107,-0.21881789956224826,-0.25253469034024384,-0.20052188869775517,-0.18993697299826795,-0.15014774243317727,-0.07295075771923852,4.92299098821744e-05,0.01690809380463066,-0.014835771535299637,-0.041891154750340984,-0.030118851379393994,-0.03345577601249193,-0.03935645158792046,0.018501675226526782,0.0007880274115627339,-0.04439573725781396,-0.025819310003060918,0.016294202883968902,0.17469282262400088,0.005462432586628048,-0.020680839761539123,0.0009090861360852252,-0.22799420128956985,0.5422100508711047,1.0,0.17547526417025683,-0.5745935473661512,-0.616903088540845,0.011826252679709843,-0.13179691822356246,-0.034295390975961966,-0.03136391408815139,-0.029504423879787064,-0.060539768449167156
Dollar_index_change,-0.06948279018275648,-0.08135704740623381,-0.09480541861967301,-0.08296599866108381,-0.061690845644653144,-0.09372649605287019,-0.02798173141884342,0.024386881267125054,0.014557175193344657,6.033268599879171e-05,0.016695279159450033,0.006428418063780767,-0.033445066609148005,-0.03234321878714079,-0.0025740108260880294,-0.028858061028403728,-0.05114241258259836,-0.061334729171931744,0.0335562947999301,0.01818132827554369,-0.01385508501483112,-0.00296123200721978,-0.053832941009625934,0.3413828484802432,0.16905233480867957,0.17547526417025683,1.0,-0.18181653370703038,-0.18599894989517154,-0.3578096607052632,-0.32899126339276785,0.012985355524421422,-0.013913926171398553,0.008524937889237586,0.01757649407509235
QQQ,0.20999707118383146,0.3213003237430337,0.36598104068959125,0.2905882759661143,0.26832063590112265,0.21702826673400077,0.012607794619076318,0.0021239345186195397,-0.01211549934290985,0.024728391991722515,0.008989780294735994,0.0005660036726838157,-0.001234249476410636,-0.01300660590411808,-0.04253539916468579,-0.018461836783281015,-0.006392915738245716,-0.010335549283955543,-0.01591552569868136,-0.22819549303086814,0.0028894069613363605,0.014848919591038472,-0.032646403603122945,-0.025716177823137436,-0.755641620450932,-0.5745935473661512,-0.18181653370703038,1.0,0.9523859667832282,0.1410703789854075,0.25132615043630724,-0.005842239142318481,0.03950747622756926,0.021569701740110463,0.03872045527923953
SPY,0.21283161847243504,0.32396202811303637,0.3678527085964323,0.2910710468423214,0.27118742680345465,0.21871568700548116,0.013170157428518074,-0.0031042068189477984,-0.019638447738377425,0.03005129459157583,0.010504301973217601,0.0068748824168850765,0.01055116213781811,0.0065154940218099845,-0.03601163157440337,-0.014517887251018116,0.0021966873613958582,-0.0050901125378351,-0.0006811335475240947,-0.2238657510205998,0.014216537030318754,0.02106235465594077,-0.045399624790658226,-0.060424666421521236,-0.796634553271972,-0.616903088540845,-0.18599894989517154,0.9523859667832282,1.0,0.1456320559255026,0.24793662710217604,0.0017801774725010044,0.04073742780026275,0.01915638034091704,0.03221541124799769
GLD,0.024387145398565777,0.08131731256092485,0.07275460208489201,0.03952203451483848,0.05377014242520109,0.06914382589535707,-0.002986945053780428,0.014255762421194824,-0.04605952589178397,0.031978859067603296,-0.011381150561397865,-0.006978107933984041,0.034350371348076156,0.03158683844146843,0.006852653475616936,0.02090935531085779,0.042975190157522776,0.011923301771705952,0.02397480976862414,-0.07838565739758495,0.0404028033570381,-0.04954231259142532,-0.05594452535585879,-0.1858143341051433,-0.0876504629995466,0.011826252679709843,-0.3578096607052632,0.1410703789854075,0.1456320559255026,1.0,0.7750804773490706,-0.0033660439135904502,0.026081230200714428,-0.018999785822528762,-0.03315992089828909
SLV,0.06713054507067155,0.14067446281465873,0.14372724278749763,0.10920049131262058,0.10445959506682824,0.10527980023072012,0.006160525106763471,0.010468512183738725,-0.01935121448893538,0.0610757730777647,0.01574538209531126,0.03177212377931008,0.013179348438042273,0.017509180153403192,0.0071124444537095195,0.0018516356240777321,0.011547140509284974,-0.024764012570707088,0.0022184457281630736,-0.1610400428403865,0.023653967125209178,-0.054160781307652554,-0.047755336161500954,-0.09134739002090717,-0.18733876072854108,-0.13179691822356246,-0.32899126339276785,0.25132615043630724,0.24793662710217604,0.7750804773490706,1.0,0.02051772968346781,0.0423683396856988,0.041602643300890085,0.015287235616885829
PEPE_SMA12,0.0708200002255762,0.023146833639500767,0.02276435107706781,0.04808996242563837,0.03581285550050042,0.053557484910386755,0.3224216950863435,0.3342387833949522,0.3377168923591859,0.3463039398323412,0.8137841085470354,0.9466692508509997,0.420628077053313,0.47926934613426114,0.006843640393504539,0.30381723667700045,0.08993512799071804,-0.027129456863529147,0.46482348622361225,0.03648607485507017,0.016349164405217234,-0.020983789083262712,-0.023319863956415866,-0.00239358490473179,0.03281200662957816,-0.034295390975961966,0.012985355524421422,-0.005842239142318481,0.0017801774725010044,-0.0033660439135904502,0.02051772968346781,1.0,0.6921315559566782,0.816589865851337,0.7721784863704126
PEPE_SMA26,0.05372913733325614,0.027753993358954822,0.027872265898522597,0.07396855749068025,0.0504619887825353,0.0535233384666686,0.2098024967908548,0.20908282797028452,0.21066073587377188,0.21888531599214617,0.5251360173660486,0.7489460387264575,0.3980244962352853,0.5133829103086708,-0.004205605395981903,0.314984228757216,0.12057322335228778,0.04708818540260096,0.5683047978205423,0.017631581075735567,0.0020490612555416022,0.017023014484704068,0.015318713127472731,-0.03102647246262677,0.0036663283782420817,-0.03136391408815139,-0.013913926171398553,0.03950747622756926,0.04073742780026275,0.026081230200714428,0.0423683396856988,0.6921315559566782,1.0,0.6095253325670831,0.5547633907747768
PEPE_RSI_14d_lag1,0.04185332074294516,0.0120501092522163,0.023241642663776905,0.030061033168738364,0.03060818168215593,0.021802096447331887,0.28344812511508155,0.2917215150364765,0.30362462257516915,0.2764971182380239,0.683495066585908,0.8636709580788267,0.26246148584828705,0.3217586364578045,0.018035754286433663,0.20474393830640222,-0.004922832159102372,-0.061248318740353906,0.28002594434637595,0.014236059007148881,0.0349051764238499,-0.03528322119854853,-0.021770151765206136,-0.003662490276587306,0.024713243488006152,-0.029504423879787064,0.008524937889237586,0.021569701740110463,0.01915638034091704,-0.018999785822528762,0.041602643300890085,0.816589865851337,0.6095253325670831,1.0,0.8742141695006065
PEPE_BB_percent_b_20d_lag1,0.07503008536152402,0.031171671361453997,0.03679598566408287,0.03549421752716209,0.04599191713274023,0.030215629901823787,0.46673579921856906,0.40257828081308983,0.35213659665391894,0.2650267207878623,0.7743432040976718,0.7467741790987528,0.21626090873384418,0.2221054835555407,0.055327231668431176,0.17104945429109578,-0.014220996559668641,-0.09619013224355931,0.20788651984942713,0.009717164007813358,0.0007786076748407011,-0.03177469362686363,-0.042900247863565256,0.016985047710269045,-0.002870912091928041,-0.060539768449167156,0.01757649407509235,0.03872045527923953,0.03221541124799769,-0.03315992089828909,0.015287235616885829,0.7721784863704126,0.5547633907747768,0.8742141695006065,1.0
