model,alpha,validation_month,train_rows,validation_rows,cv_r2
Ridge,3000.0,2024-03,268,31,0.2276976803495886
Ridge,3000.0,2024-04,299,30,0.323304151605707
Ridge,3000.0,2024-05,329,31,0.13054490238352856
Ridge,3000.0,2024-06,360,30,0.19230063416543608
Ridge,3000.0,2024-07,390,31,0.38356169509747573
Ridge,3000.0,2024-08,421,31,0.5492809101758056
Ridge,3000.0,2024-09,452,30,0.5405132842346038
Ridge,3000.0,2024-10,482,31,0.4506261951269186
Ridge,3000.0,2024-11,513,30,0.1906926684259972
Ridge,3000.0,2024-12,543,31,0.3813831937781661
Ridge,3000.0,2025-01,574,31,0.41504021593902896
Ridge,3000.0,2025-02,605,28,0.4809427528781989
Ridge,3000.0,2025-03,633,31,0.5786347363103764
Ridge,3000.0,2025-04,664,30,0.6891063160301523
Ridge,3000.0,2025-05,694,31,0.510030981056633
Ridge,3000.0,2025-06,725,30,0.5803653739838367
Ridge,3000.0,2025-07,755,31,0.632149716688378
Ridge,3000.0,2025-08,786,31,0.7538066187502274
Ridge,3000.0,2025-09,817,30,0.6919355909942216
Ridge,3000.0,2025-10,847,6,0.7614933199818258
Ridge,10000.0,2023-08,55,31,-0.03544981726628693
Ridge,10000.0,2023-09,86,30,0.009096579011651063
Ridge,10000.0,2023-10,116,31,0.0008636132301492738
Ridge,10000.0,2023-11,147,30,0.09103334024108312
Ridge,10000.0,2023-12,177,31,0.05951909666244004
Ridge,10000.0,2024-01,208,31,0.09264616315179319
Ridge,10000.0,2024-02,239,29,-0.0893368674311501
Ridge,10000.0,2024-03,268,31,0.05010608904568392
Ridge,10000.0,2024-04,299,30,0.10927601057395475
Ridge,10000.0,2024-05,329,31,0.008739209666225878
Ridge,10000.0,2024-06,360,30,0.03830712893073118
Ridge,10000.0,2024-07,390,31,0.1598557058535406
Ridge,10000.0,2024-08,421,31,0.22210021052569584
Ridge,10000.0,2024-09,452,30,0.2507799064453432
Ridge,10000.0,2024-10,482,31,0.2046915440709718
Ridge,10000.0,2024-11,513,30,0.07083151648085417
Ridge,10000.0,2024-12,543,31,0.19693553423917354
Ridge,10000.0,2025-01,574,31,0.1767511004229917
Ridge,10000.0,2025-02,605,28,0.16598378321032647
Ridge,10000.0,2025-03,633,31,0.32146016274634137
Ridge,10000.0,2025-04,664,30,0.412640489246077
Ridge,10000.0,2025-05,694,31,0.25689349037638765
Ridge,10000.0,2025-06,725,30,0.293815648047258
Ridge,10000.0,2025-07,755,31,0.34525973902331564
Ridge,10000.0,2025-08,786,31,0.44777121338091264
Ridge,10000.0,2025-09,817,30,0.3898049940006154
Ridge,10000.0,2025-10,847,6,0.3938103254181472
